"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","significant","symbol"
"ENSG00000100626.17",1432.08897189712,-2.29178193580812,0.250788698087277,-9.13829830964137,6.34427253255442e-20,5.77396774811015e-17,16.2385256463051,TRUE,"GALNT16"
"ENSG00000161649.14",474.295197050153,-4.29454015786979,0.470991214012093,-9.11808974372827,7.6460089952856e-20,6.71873266299527e-17,16.1727126390555,TRUE,"CD300LG"
"ENSG00000144810.16",4371.77944707022,3.28722102914437,0.362518969505005,9.06772143160632,1.21531802908925e-19,1.03233164450938e-16,15.9861807598384,TRUE,"COL8A1"
"ENSG00000069011.16",156.378013743681,4.61113148500793,0.513260273175736,8.98400232006486,2.61092243860554e-19,2.14626246783822e-16,15.6683171689667,TRUE,"PITX1"
"ENSG00000163884.4",289.435792356547,-4.06133110128404,0.458607430072465,-8.85579001771145,8.30931747344062e-19,6.61707303674023e-16,15.1793340717523,TRUE,"KLF15"
"ENSG00000109805.10",332.2550793325,3.02925808303476,0.344465068063982,8.79409369449359,1.44207206246827e-18,1.11358552629936e-15,14.9532764223897,TRUE,"NCAPG"
"ENSG00000133116.8",222.947467898168,-2.76148814592685,0.315015333026677,-8.76620232861172,1.84793804811558e-18,1.38502956706262e-15,14.858540955354,TRUE,"KL"
"ENSG00000224032.9",430.364664015458,-2.08467424296053,0.239825137313704,-8.69247596941297,3.54624860535097e-18,2.58197294886168e-15,14.5880483121167,TRUE,NA
"ENSG00000103522.17",334.227076264838,4.71228778287265,0.554512785477598,8.49806876646494,1.92770907032983e-17,1.36455028442264e-14,13.8650104557105,TRUE,"IL21R"
"ENSG00000113594.10",9626.94257875022,-2.4144772672194,0.287089866847609,-8.41017934116439,4.09384280351563e-17,2.81955124762132e-14,13.5498200073509,TRUE,"LIFR"
"ENSG00000124440.16",120.239373229194,-4.63185143387066,0.552248203389645,-8.38726392488162,4.97587059685437e-17,3.25128488255487e-14,13.4879449752898,TRUE,"HIF3A"
"ENSG00000126785.13",1356.47898086164,-1.85099586878719,0.220681546418816,-8.38763321548561,4.96026955865338e-17,3.25128488255487e-14,13.4879449752898,TRUE,"RHOJ"
"ENSG00000165891.16",142.759483090709,3.79299346712434,0.454069069353518,8.35334032446787,6.63590983438922e-17,4.22757225774351e-14,13.3739089606974,TRUE,"E2F7"
"ENSG00000147257.16",1075.02914429288,-4.0038593905927,0.482808666105835,-8.29284905527158,1.10567615294898e-16,6.87218180624364e-14,13.1629053595953,TRUE,"GPC3"
"ENSG00000115414.21",200168.576384251,3.66692053496138,0.443153513858895,8.27460557184924,1.2888153530568e-16,7.81973372427293e-14,13.1068080351816,TRUE,"FN1"
"ENSG00000168477.21",7064.51148570693,-2.93645654302102,0.361210512357223,-8.12948804800282,4.31107262764536e-16,2.5548619481462e-13,12.5926325619786,TRUE,"TNXB"
"ENSG00000101057.16",458.501606620138,3.988690490841,0.491099858246491,8.12195406670024,4.58736957918366e-16,2.65681679514403e-13,12.5756383919959,TRUE,"MYBL2"
"ENSG00000143228.13",157.480685238845,3.10454654518676,0.383752547303555,8.08996986990946,5.96794930044613e-16,3.30752775801955e-13,12.4804965023622,TRUE,"NUF2"
"ENSG00000146966.13",565.589698204098,-2.54519497225636,0.31461320552114,-8.08991780252955,5.97050099552248e-16,3.30752775801955e-13,12.4804965023622,TRUE,"DENND2A"
"ENSG00000136011.15",278.187491006877,-5.07227885302979,0.628963525762707,-8.06450397402446,7.35338141745026e-16,3.98694082257202e-13,12.3993602104427,TRUE,"STAB2"
"ENSG00000077152.12",112.599379187212,3.04437268773827,0.378470820840589,8.04387688587638,8.70399676978705e-16,4.62091561842674e-13,12.3352719619696,TRUE,"UBE2T"
"ENSG00000105011.9",305.956944641541,2.97249512327833,0.370580719653292,8.02118125859146,1.04733045487316e-15,5.33782439630653e-13,12.272635717729,TRUE,"ASF1B"
"ENSG00000138755.6",3636.56234913231,4.99728777983723,0.622963062483937,8.02180431037369,1.04203055899373e-15,5.33782439630653e-13,12.272635717729,TRUE,"CXCL9"
