"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045453","GO:0045453","bone resorption","18/2016","63/18860",0.285714285714286,2.67290249433107,4.60127945390786,7.08937721772465e-05,0.000952554502527002,0.000669759584516618,"CD38/PDK4/CLDN18/SNX10/NOX4/CSK/CALCA/TCIRG1/TNFAIP3/SPP1/RAC2/ADAM8/PTH1R/SLC4A2/DCSTAMP/TPP1/INPP5D/RUFY4",18
"GO:0048469","GO:0048469","cell maturation","43/2016","221/18860",0.194570135746606,1.82023450405803,4.24331082103629,7.33042734526716e-05,0.00098270944365577,0.000690962109713809,"CFTR/SOX8/MYOC/ROPN1/TRIP13/PGR/AURKA/SOX10/TGFB1/HOXA5/LHX6/SHB/ROPN1B/KIF14/KCNIP2/RUNX2/RAC2/CDKN1C/PPARG/CCNB1/ADGRB3/EDNRB/CCL21/IL21/BRCA2/DIAPH3/EDNRA/HEATR3/CATSPERT/FUT6/NPR2/PTH1R/TAL1/FLVCR1/FBXO41/WASHC5/CLEC7A/RND1/TDRD6/TDRKH/KCNQ3/AGRN/LCN6",43
"GO:0030308","GO:0030308","negative regulation of cell growth","36/2016","174/18860",0.206896551724138,1.93555008210181,4.28909307669702,7.51979955600568e-05,0.00100581572341868,0.000707208584107321,"SEMA3F/SEMA3G/BRCA1/PRDM11/FHL1/JADE1/ARHGAP4/WFDC1/TGFB1/HYAL1/RGS4/P3H1/SPP1/INHBA/BST2/PLXNA3/PPT1/RERG/KIAA0319/SEMA6D/SFRP2/CDKN2A/PTPRJ/SCGB3A1/FRZB/PI16/SOX17/CDK5/DCSTAMP/NPR1/CFL1/ZC3H12D/RGMA/SLIT3/WT1/MEG3",36
"GO:0032602","GO:0032602","chemokine production","25/2016","104/18860",0.240384615384615,2.24883623321123,4.41808458297757,7.63779690454523e-05,0.0010109360731846,0.000710808801546541,"CD74/C1QTNF3/TREM2/HMOX1/PYCARD/TGFB1/OAS3/TNFSF4/CXCL6/IL1B/POSTN/HAVCR2/KLF4/IL33/TLR2/TSLP/IL18/MCOLN2/LGALS9/CLEC7A/LPL/LILRB4/APOD/TLR7/TNF",25
"GO:0032642","GO:0032642","regulation of chemokine production","25/2016","104/18860",0.240384615384615,2.24883623321123,4.41808458297757,7.63779690454523e-05,0.0010109360731846,0.000710808801546541,"CD74/C1QTNF3/TREM2/HMOX1/PYCARD/TGFB1/OAS3/TNFSF4/CXCL6/IL1B/POSTN/HAVCR2/KLF4/IL33/TLR2/TSLP/IL18/MCOLN2/LGALS9/CLEC7A/LPL/LILRB4/APOD/TLR7/TNF",25
"GO:0000022","GO:0000022","mitotic spindle elongation","7/2016","12/18860",0.583333333333333,5.45717592592593,5.34317920676826,7.68248775847148e-05,0.0010109360731846,0.000710808801546541,"BIRC5/KIF4A/CDCA8/KIF23/RACGAP1/AURKB/PRC1",7
"GO:0045060","GO:0045060","negative thymic T cell selection","7/2016","12/18860",0.583333333333333,5.45717592592593,5.34317920676826,7.68248775847148e-05,0.0010109360731846,0.000710808801546541,"CD74/PTPRC/ZAP70/CCR7/DOCK2/SPN/CD3E",7
"GO:0090232","GO:0090232","positive regulation of spindle checkpoint","7/2016","12/18860",0.583333333333333,5.45717592592593,5.34317920676826,7.68248775847148e-05,0.0010109360731846,0.000710808801546541,"NDC80/BIRC5/CDCA8/KNL1/MAD2L1/GEN1/AURKB",7
"GO:0051347","GO:0051347","positive regulation of transferase activity","34/2016","161/18860",0.211180124223602,1.97562358276644,4.30098585750885,7.68554553662688e-05,0.0010109360731846,0.000710808801546541,"TENM1/CD4/LTF/IGF1/CD74/LCP2/PTPRC/TPX2/CLSPN/CEMIP/PIK3CG/EZH2/UBE2S/CALCA/SASH1/CDC20/KIF14/CHTF18/FGF2/CENPE/PIK3R5/ERBB2/FGF18/NEK10/STOX1/PLK1/RASGRP1/LEP/UBE2C/TNFSF15/HLA-DRB1/LAT/TNF/PIK3R6",34
"GO:0032703","GO:0032703","negative regulation of interleukin-2 production","11/2016","28/18860",0.392857142857143,3.67524092970522,4.90089808031833,7.71197850145899e-05,0.0010109360731846,0.000710808801546541,"FOXP3/TBX21/PTPRC/LAG3/HOMER2/GBP1/TNFAIP3/HAVCR2/LAPTM5/PRNP/LILRB4",11
"GO:0036037","GO:0036037","CD8-positive, alpha-beta T cell activation","11/2016","28/18860",0.392857142857143,3.67524092970522,4.90089808031833,7.71197850145899e-05,0.0010109360731846,0.000710808801546541,"RUNX3/LILRB1/CLEC4A/NCKAP1L/GPR18/IRF1/WDFY4/EOMES/SLC4A2/LILRB4/HLA-A",11
"GO:0046629","GO:0046629","gamma-delta T cell activation","11/2016","28/18860",0.392857142857143,3.67524092970522,4.90089808031833,7.71197850145899e-05,0.0010109360731846,0.000710808801546541,"PTPRC/LILRB1/NCKAP1L/GPR18/LEF1/CD3G/NOD2/LCK/CD247/CD3E/MICB",11
"GO:0006821","GO:0006821","chloride transport","29/2016","129/18860",0.224806201550388,2.10309769902793,4.34920951683876,7.87950729362022e-05,0.00103061166194431,0.000724643090417006,"CFTR/SLC4A1/CLCA4/PACC1/ANO8/SLC1A3/KCNK2/ABCB1/APOL1/SLC6A2/SLC17A7/SLC12A7/ANO3/KCNK1/TTYH3/GLRA3/SLC12A9/ANO4/GABRA2/SLC25A27/SLC4A2/TTYH1/SLC26A5/NMUR1/P2RY6/GABRD/SLC12A8/SLC5A8/FXYD1",29
"GO:0015844","GO:0015844","monoamine transport","20/2016","75/18860",0.266666666666667,2.49470899470899,4.48707839982845,8.41468845899023e-05,0.00109576295527644,0.000770452231035298,"SYT1/ACTB/NOS1/CHGA/SLC6A2/LILRB1/STX1A/CXCL12/ADORA2A/SLC22A3/CHRNA6/DRD2/ADRA2A/FCER1G/SLC18A2/SNCG/NPY2R/PRKN/TGM2/ADRA2B",20
"GO:1902750","GO:1902750","negative regulation of cell cycle G2/M phase transition","20/2016","75/18860",0.266666666666667,2.49470899470899,4.48707839982845,8.41468845899023e-05,0.00109576295527644,0.000770452231035298,"BRCA1/FHL1/CHFR/ORC1/CLSPN/CDC6/NOP53/PKMYT1/IER3/TICRR/DTL/CHEK1/DONSON/WEE1/PLK1/CDK1/NABP1/AURKB/GPR132/BLM",20
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","27/2016","117/18860",0.230769230769231,2.15888278388278,4.35005619370656,8.55059076753092e-05,0.00111101302456358,0.000781174851150482,"ITGAL/LIMS2/FYB1/ITGB5/PTN/SERPINE1/ITGA4/FN1/PLEK/PLAU/ITGA11/ITGAV/SEMA7A/ITGB7/DIAPH3/ITGAX/FERMT3/DST/THY1/FCER1G/ITGB2/PLPP3/COL3A1/RCC2/ISG15/LAMA2/LAT",27
"GO:0035296","GO:0035296","regulation of tube diameter","34/2016","162/18860",0.209876543209877,1.96342837546541,4.26050756306718,8.74451789635054e-05,0.00113123828891082,0.000795395627610003,"CD38/ATP1A2/NOS1/COMP/CALCA/ITGA4/ADRA1A/EDN3/AVPR2/EDN2/ADORA2A/APOE/PER2/NTS/EDNRB/HTR7/ADD3/ADRA2A/EDNRA/CBS/LOC102724560/GPER1/SVEP1/SERPINF2/NPR1/FGG/LEP/OXTR/SLC8A1/KCNMB2/TNF/HBB/GJA5/ADRA2B",34
"GO:0097746","GO:0097746","blood vessel diameter maintenance","34/2016","162/18860",0.209876543209877,1.96342837546541,4.26050756306718,8.74451789635054e-05,0.00113123828891082,0.000795395627610003,"CD38/ATP1A2/NOS1/COMP/CALCA/ITGA4/ADRA1A/EDN3/AVPR2/EDN2/ADORA2A/APOE/PER2/NTS/EDNRB/HTR7/ADD3/ADRA2A/EDNRA/CBS/LOC102724560/GPER1/SVEP1/SERPINF2/NPR1/FGG/LEP/OXTR/SLC8A1/KCNMB2/TNF/HBB/GJA5/ADRA2B",34
