,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,significant,symbol
ENSG00000198478.8,1577.684689,-2.430146417,0.364021849,-6.67582571,2.46E-11,5.31E-09,8.274971835,TRUE,SH3BGRL2
ENSG00000260230.5,310.5253986,-2.158292156,0.323241389,-6.677029081,2.44E-11,5.31E-09,8.274971835,TRUE,FRRS1L
ENSG00000153823.19,764.7422486,-2.707590885,0.406317268,-6.663735707,2.67E-11,5.72E-09,8.24286103,TRUE,PID1
ENSG00000008300.17,587.0313278,3.807211389,0.571588516,6.660755567,2.72E-11,5.79E-09,8.237686285,TRUE,CELSR3
ENSG00000269289.6,158.1907246,-4.642693072,0.697597443,-6.655261026,2.83E-11,5.96E-09,8.225058939,TRUE,ZNF276-AS1
ENSG00000167434.10,105.59298,-5.108619701,0.768287776,-6.649356997,2.94E-11,6.15E-09,8.211206581,TRUE,CA4
ENSG00000237949.3,55.72923591,-3.35886669,0.506314992,-6.633946738,3.27E-11,6.77E-09,8.169335562,TRUE,LOC102724768
ENSG00000101003.12,322.8025199,1.888362936,0.284928704,6.627492803,3.41E-11,7.00E-09,8.154927165,TRUE,GINS1
ENSG00000269893.10,1073.983113,-1.798668082,0.271428688,-6.626669044,3.43E-11,7.00E-09,8.154927165,TRUE,SNHG8
ENSG00000134343.14,46.75294686,-3.722298939,0.56197054,-6.623654929,3.50E-11,7.09E-09,8.149525807,TRUE,ANO3
ENSG00000100307.13,1594.896703,-1.569453508,0.237052166,-6.620709423,3.57E-11,7.12E-09,8.147708799,TRUE,CBX7
ENSG00000134917.10,183.8702495,-3.810848585,0.575513296,-6.621651685,3.55E-11,7.12E-09,8.147708799,TRUE,ADAMTS8
ENSG00000112984.12,400.6570043,3.337253103,0.504262663,6.618084878,3.64E-11,7.19E-09,8.143378475,TRUE,KIF20A
ENSG00000123560.14,249.3190309,-3.365272015,0.509662579,-6.602941155,4.03E-11,7.86E-09,8.104608532,TRUE,PLP1
ENSG00000279622.2,54.66219708,-4.817965276,0.729708094,-6.602592618,4.04E-11,7.86E-09,8.104608532,TRUE,NA
ENSG00000123473.17,447.9967749,1.767109692,0.267955512,6.594787622,4.26E-11,8.22E-09,8.085051385,TRUE,STIL
ENSG00000169258.7,139.8696477,3.000562294,0.455608885,6.585829185,4.52E-11,8.67E-09,8.062122986,TRUE,GPRIN1
ENSG00000157404.17,5256.790342,-2.573802596,0.391080736,-6.581256402,4.66E-11,8.87E-09,8.052012547,TRUE,KIT
ENSG00000258227.7,298.1435347,5.173194633,0.787770763,6.56687818,5.14E-11,9.70E-09,8.013280264,TRUE,CLEC5A
ENSG00000007908.16,133.2841788,2.818751136,0.429647564,6.560612401,5.36E-11,1.00E-08,7.998226934,TRUE,SELE
ENSG00000206384.11,1184.009873,-4.479155927,0.685210262,-6.536907244,6.28E-11,1.17E-08,7.93248291,TRUE,COL6A6
ENSG00000160326.14,117.1720964,2.93844521,0.449776597,6.533121621,6.44E-11,1.19E-08,7.924656393,TRUE,SLC2A6
ENSG00000127241.18,94.8634288,-2.848813868,0.437745065,-6.507929152,7.62E-11,1.40E-08,7.854844411,TRUE,MASP1
ENSG00000134121.10,1282.323231,-2.48446899,0.382161392,-6.501098868,7.97E-11,1.45E-08,7.838226283,TRUE,CHL1
ENSG00000196616.15,4869.339232,-3.773426806,0.58111112,-6.493468595,8.39E-11,1.52E-08,7.819298442,TRUE,ADH1B
ENSG00000013810.21,561.4575453,2.01834835,0.313054119,6.447282529,1.14E-10,2.04E-08,7.689615523,TRUE,TACC3
ENSG00000189367.15,366.8329056,-3.811161055,0.593504543,-6.421452204,1.35E-10,2.41E-08,7.618814785,TRUE,KIAA0408
ENSG00000077616.11,150.1636473,-3.455041307,0.538390899,-6.417347166,1.39E-10,2.45E-08,7.610131125,TRUE,NAALAD2
ENSG00000053702.15,160.2294374,-2.290652752,0.357329947,-6.410469579,1.45E-10,2.55E-08,7.593533549,TRUE,NRIP2
ENSG00000049249.10,241.4519641,3.259913677,0.509192222,6.402127798,1.53E-10,2.66E-08,7.575733401,TRUE,TNFRSF9
ENSG00000134690.11,208.916689,2.58629719,0.40394839,6.402543619,1.53E-10,2.66E-08,7.575733401,TRUE,CDCA8
ENSG00000134339.9,424.8050871,-4.830246081,0.756374283,-6.386052765,1.70E-10,2.92E-08,7.534454025,TRUE,SAA2
ENSG00000162444.12,352.9584372,-2.565608558,0.401784337,-6.385536524,1.71E-10,2.92E-08,7.534454025,TRUE,RBP7
ENSG00000258819.2,42.60100792,-3.252041702,0.509469978,-6.383186143,1.73E-10,2.95E-08,7.530689271,TRUE,LINC02289
ENSG00000148700.15,6615.40316,-1.472204834,0.230703958,-6.381359244,1.76E-10,2.95E-08,7.529658781,TRUE,ADD3
ENSG00000185130.6,346.7425749,2.746161918,0.430379269,6.380795066,1.76E-10,2.95E-08,7.529658781,TRUE,H2BC13
ENSG00000230798.7,42.46552243,8.898214756,1.396215308,6.373096403,1.85E-10,3.09E-08,7.510684168,TRUE,FOXD3-AS1
ENSG00000009694.14,283.6574308,-1.804228897,0.283173407,-6.371463051,1.87E-10,3.10E-08,7.508886836,TRUE,TENM1
ENSG00000121966.8,3897.479761,2.123419812,0.333611839,6.364941412,1.95E-10,3.21E-08,7.49323595,TRUE,CXCR4
ENSG00000135119.15,365.2670272,2.553997205,0.401986411,6.353441649,2.11E-10,3.44E-08,7.463518637,TRUE,RNFT2
ENSG00000083782.8,74.93715797,5.217069658,0.82263196,6.34192435,2.27E-10,3.68E-08,7.433790215,TRUE,EPYC
ENSG00000090889.12,369.4815254,3.817919594,0.602546828,6.336303535,2.35E-10,3.80E-08,7.420705365,TRUE,KIF4A
ENSG00000090006.18,2253.445175,-1.650520351,0.260600092,-6.333537108,2.40E-10,3.84E-08,7.415653148,TRUE,LTBP4
ENSG00000140678.17,1032.755302,2.441845101,0.385617194,6.332303478,2.42E-10,3.85E-08,7.414902261,TRUE,ITGAX
ENSG00000243302.3,34.55393832,8.6014731,1.361622561,6.317075924,2.67E-10,4.22E-08,7.374782551,TRUE,NA
ENSG00000172987.14,617.4916525,-5.147050698,0.81601407,-6.307551412,2.83E-10,4.46E-08,7.350735252,TRUE,HPSE2
ENSG00000136158.12,1365.455579,-2.316304483,0.367411039,-6.304395444,2.89E-10,4.52E-08,7.344557166,TRUE,SPRY2
ENSG00000103888.17,519.3068801,3.927642125,0.623271562,6.301654634,2.94E-10,4.58E-08,7.339530443,TRUE,CEMIP
ENSG00000126353.3,195.0737954,2.776415253,0.441635159,6.286671695,3.24E-10,5.01E-08,7.300227157,TRUE,CCR7
ENSG00000167757.14,90.84590711,-6.157343706,0.980745656,-6.278226848,3.42E-10,5.26E-08,7.279252728,TRUE,KLK11
ENSG00000107731.12,2397.295527,2.381652133,0.379921635,6.268798388,3.64E-10,5.55E-08,7.25554968,TRUE,UNC5B
ENSG00000133110.15,59483.62395,2.624381805,0.418883038,6.265189959,3.72E-10,5.65E-08,7.248082655,TRUE,POSTN
ENSG00000111262.6,187.7983436,-3.226368887,0.516646529,-6.244828341,4.24E-10,6.40E-08,7.193998127,TRUE,KCNA1
ENSG00000166851.15,373.7293362,3.326912049,0.533714666,6.233503142,4.56E-10,6.84E-08,7.165120963,TRUE,PLK1
